id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,verbal_mean,maths_int,maths_slope
726176,Male,-0.5000693700848716,NA,NA,4,-0.17179152991042915,NA,NA,1,0,NA,NA,NA,-1,NaN,2.7508810151162777,0.43998842615331124
726310,Male,-1.392932658014681,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.9466572551539225,0.4979871713108752
726316,Female,-0.4277908856662233,NA,NA,4,NA,NA,-0.7502648980855171,NA,1,NA,NA,NA,NA,-0.7502648980855171,2.7508810151162777,0.43998842615331124
726415,Male,0.8728918118477171,NA,3,NA,0.23939388457938732,-0.43620349240566303,0.5141700718979332,4,NA,NA,NA,NA,NA,0.038983289746135075,2.67954108766688,0.4501168956081009
726712,Female,0.5879166521768985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
726910,Male,0.31314105813295245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
727012,Male,0.5919744626472948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
727018,Female,NA,NA,NA,3.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.633895785413961,0.3904586169708017
727157,Male,NA,NA,NA,NA,-1.1750406526566701,-1.1538520990921848,NA,6.25,NA,NA,NA,NA,NA,-1.1538520990921848,NA,NA
727166,Female,-1.6453621882185123,NA,3,NA,NA,-0.546129753719189,NA,NA,NA,1.2222222222222223,1.2857142857142858,1.9,NA,-0.546129753719189,2.67954108766688,0.4501168956081009
727216,Female,-0.7350761823759339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
727315,Male,0.684256232620179,NA,NA,NA,NA,NA,-0.5906439083282246,NA,NA,NA,NA,NA,NA,-0.5906439083282246,NA,NA
727414,Male,-0.32520921587523866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
727612,Male,-1.0735092668216357,1.6666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.174222842359451,0.4326683238254261
727717,Male,0.46644174471259026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
727816,Female,-0.3753982978916466,NA,NA,4,NA,NA,-0.19115898333224582,NA,1,NA,NA,NA,NA,-0.19115898333224582,2.7508810151162777,0.43998842615331124
727915,Male,1.2413151522524866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728116,Male,-0.7179898260434192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728138,Female,-0.15406014984111685,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NaN,NA,NA
728147,Male,-1.2981251448135795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728215,Male,-1.3017607687734662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728314,Male,-0.05562931158255293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728512,Male,-0.046524347848812174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
728716,Male,1.436633227987903,NA,NA,5,NA,NA,0.7626776062550444,NA,1,NA,NA,NA,NA,0.7626776062550444,3.1018367042232278,0.5885778537008397
728815,Male,0.960075958073886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729016,Male,0.31398887346783444,NA,NA,5,NA,NA,-0.9410033859627921,NA,0,NA,NA,NA,NA,-0.9410033859627921,3.1018367042232278,0.5885778537008397
729115,Female,1.4206354502661669,NA,NA,NA,NA,NA,1.1795938796887893,NA,5,NA,NA,NA,NA,1.1795938796887893,NA,NA
729137,Female,-1.1692418319304612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729188,Male,-0.6041405310212268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729214,Female,-0.45133288801274396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729412,Female,-0.5159050063821703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729610,Female,0.8905407913781395,NA,NA,5,NA,NA,-0.5349636865275367,NA,NA,NA,NA,NA,NA,-0.5349636865275367,3.1018367042232278,0.5885778537008397
729616,Male,-0.9396202530690679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
729814,Female,-0.4944637432412821,2,2.3333333333333335,3.6666666666666665,0.1390689723047632,-0.3474265765218243,0.2212913403413706,5,1,NA,NA,NA,-4,-0.06306761809022685,2.236230540746518,0.43852609926669595
730111,Female,-0.8321075329925336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
730117,Female,-0.6962686774885164,3,3,NA,0.8808864197924122,0.44470763352578707,-5.646456558866367e-4,0,0,1.3333333333333333,1,1.2,0,0.2220714939349502,2.7977705972266005,0.4391912306948618
730157,Male,0.3965920785101033,NA,3,NA,NA,NA,0.47858662401782265,NA,2,2.888888888888889,1.8571428571428572,2,NA,0.47858662401782265,2.67954108766688,0.4501168956081009
730166,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
730210,Male,-1.9317443694956782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
730216,Male,-0.23288411775372408,NA,NA,4,NA,NA,-0.4131591195304187,NA,2,NA,NA,NA,NA,-0.4131591195304187,2.7508810151162777,0.43998842615331124
730618,Male,0.2087973652900828,NA,NA,NA,NA,NA,0.008367253864369947,NA,5,NA,NA,NA,NA,0.008367253864369947,NA,NA
730711,Male,0.8849008901729046,NA,NA,5.333333333333333,NA,NA,NA,NA,1,1.3333333333333333,1.4285714285714286,1.5,NA,NaN,3.2188219339255446,0.6381076628833489
730717,Male,0.6689824541926577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
730810,Female,-0.8687042513163379,3,3,NA,-0.7030733874575097,-0.23116809530960392,-0.3175736502904077,7,3,NA,NA,NA,-4,-0.2743708728000058,2.7977705972266005,0.4391912306948618
730816,Female,2.010296554677581,NA,NA,3.3333333333333335,NA,NA,0.8335562016134342,NA,6,NA,NA,NA,NA,0.8335562016134342,2.516910555711644,0.3409288077882925
730915,Female,-0.6244536200648543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731011,Male,-1.052725671476903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731017,Female,0.4293594945614056,NA,NA,4.666666666666667,NA,NA,0.7047644095742923,NA,1,NA,NA,NA,NA,0.7047644095742923,2.9848514745209114,0.5390480445183302
731073,Female,-0.3198494363932815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731079,Male,-0.6607906592831504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731091,Female,-0.7003896049779301,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NaN,NA,NA
731110,Male,-0.8657791035209103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731116,Female,-0.903565216259691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731138,Female,0.06265631306857532,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NaN,2.7508810151162777,0.43998842615331124
731147,Female,NA,2,4,NA,1.2920718342822284,-0.6105035787226196,-0.8366301674034402,4,NA,NA,NA,NA,NA,-0.7235668730630299,2.763676788339544,0.6055164072018343
731198,Male,0.43765404096640753,NA,NA,4,NA,NA,0.6828671113763981,NA,0,NA,NA,NA,NA,0.6828671113763981,2.7508810151162777,0.43998842615331124
731215,Female,1.3058513843531347,4,4.666666666666667,6,1.7936963956553489,0.7397962772255497,1.7031163465619499,2,0,1,1,1.3,-2,1.2214563118937498,3.764738300693267,0.6951407105453902
731277,Female,1.4073985939654683,3,3,5,0.6703508298518439,-0.8023487230130464,0.5762609179369822,NA,0,4.444444444444445,2.2857142857142856,2.5,NA,-0.11304390253803209,2.8864111880495855,0.5937247225295924
731280,Male,-0.7195484923519815,NA,NA,4,NA,NA,1.0021090908909833,NA,0,NA,NA,NA,NA,1.0021090908909833,2.7508810151162777,0.43998842615331124
731286,Male,0.48545636063172853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731413,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731512,Female,1.363215344441404,3,4,5,0.9713255666757161,1.657599662832049,0.49645042305833587,0,0,1.6666666666666667,3.2857142857142856,1.5,0,1.0770250429451924,3.147956933189857,0.5981694443464104
731574,Male,-1.144612472162269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731583,Female,0.8890368161338813,NA,NA,4,NA,NA,-1.9613967713492595,NA,2,NA,NA,NA,NA,-1.9613967713492595,2.7508810151162777,0.43998842615331124
731611,Female,-1.1198109991412708,4,4,NA,0.3496045622453315,NA,-0.37757567165030814,2,1,NA,NA,NA,-1,-0.37757567165030814,3.501553033995778,0.5373287894277216
731617,Female,-1.3473709962385898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731664,Male,1.4027378626891787,NA,NA,6.666666666666667,0.690122360634484,1.5317552162704133,NA,4,NA,1.3333333333333333,2.857142857142857,1.3,NA,1.5317552162704133,3.68676285273481,0.836226899613387
731673,Male,1.6995144773107942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731679,Male,0.18782934435297868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731682,Male,-0.9512759804567668,NA,NA,4.666666666666667,NA,NA,-0.4131591195304187,NA,3,NA,NA,NA,NA,-0.4131591195304187,2.9848514745209114,0.5390480445183302
731710,Female,0.08104386982608408,4,4,5,-0.36255558906835716,-0.45067007593116015,NA,4,0,NA,NA,NA,-4,-0.45067007593116015,3.490176631200776,0.5174954914757628
731716,Female,1.3055032439210972,NA,NA,5,NA,NA,0.8424881011336908,NA,2,NA,NA,NA,NA,0.8424881011336908,3.1018367042232278,0.5885778537008397
731763,Female,0.9739164632839052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731772,Female,1.718595008045775,NA,4,NA,0.15884050308740336,-0.3023999532199724,NA,2,NA,NA,NA,NA,NA,-0.3023999532199724,3.210145654435628,0.5642579325340042
731781,Male,1.6203497420927404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731815,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731862,Female,-0.732127981564945,3,3.6666666666666665,4,-1.094487271164686,-0.8312818900640406,-0.7236133497256632,3,0,NA,NA,NA,-3,-0.7774476198948519,2.9605771787441246,0.4220057992157219
731868,Male,-0.4089126408040588,4,NA,NA,0.8512291236184519,1.2771631197019166,1.2594043745674355,3,1,NA,NA,NA,-2,1.2682837471346762,3.5259830647497763,0.546976306924962
731961,Male,-0.6457431853265079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
731967,Female,-1.434891800060687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732010,Female,0.029430014580209128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732016,Male,-0.2699944361745086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732115,Female,1.4972259987747907,NA,NA,NA,0.1390689723047632,NA,NA,6,4,NA,NA,NA,-2,NaN,NA,NA
732119,Female,0.6553088260610805,NA,NA,3,NA,NA,0.2391551393818838,NA,0,NA,NA,NA,NA,0.2391551393818838,2.3999253260093276,0.2913989986057829
732188,Male,0.6917477066084806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732412,Female,2.2472399064587165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732517,Female,0.004252232223777962,NA,NA,4,NA,NA,-0.7036607260060016,NA,5,NA,NA,NA,NA,-0.7036607260060016,2.7508810151162777,0.43998842615331124
732610,Male,-1.0577522478768637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
732616,Male,1.4132364271622346,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NaN,2.7508810151162777,0.43998842615331124
